,Latitude,Longitude,Unit,Sub_Type,Gear,Result,Infraction,CFR,Vessel_Type,Main fishing gear,LOA,LBP,Tonnage GT,Other tonnage,Power of main engine,Power of auxiliary engine,Hull material,Date of entry into service,Year of construction,real_local,Local_Name,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,number_infracs,Year,Month,Day,Period,NUTSII_Code
0,36º55´9.14N,7º24´1.64W,Unit_1,Trawl,Trawl,LEGAL,,NOCFR_352,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1,9,3,
1,39º22´8.90N,9º33´35.13W,Unit_2,Traps,Traps,LEGAL,,CFR_1,FX,GNS,8.4,6.8,16.9,15.0,23.9,,3.0,1995.0,1994.0,PTPEN,Peniche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1,5,2,PT16
2,37º4´27.48N,7º33´57.72W,Unit_3,Multipurpose,Gillnetting,PRESUM,I,CFR_2,MOX,GTR,13.3,11.5,20.4,17.0,115.7,,1.0,2000.0,1999.0,PTFAO,Faro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,1,6,4,PT15
3,41º53´52.50N,8º49´1.31W,Unit_4,Gillnet/trammel net,Trammel nets,LEGAL,,CFR_3,MOX,GTR,7.6,,21.1,,62.8,,3.0,2014.0,2014.0,PTCAM,Caminha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1,8,1,PT11
4,41º53´44.43N,8º48´53.75W,Unit_4,Gillnet/trammel net,Trammel nets,LEGAL,,CFR_4,MOX,GTR,5.2,,3.2,2.0,4.5,,2.0,2002.0,2001.0,PTCAM,Caminha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1,8,1,PT11
5,41º55´6.72N,8º46´25.59W,Unit_4,Gillnet/trammel net,Trammel nets,LEGAL,,CFR_5,FX,GTR,7.1,,17.9,1.0,55.9,10.0,2.0,1997.0,1997.0,PTCAM,Caminha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1,8,1,PT11
6,41º54´21.99N,8º47´44.72W,Unit_4,Gillnet/trammel net,Trammel nets,LEGAL,,CFR_6,MOX,GTR,6.0,,9.7,,34.0,,3.0,2009.0,2006.0,PTCAM,Caminha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1,5,3,PT11
7,41º54´36.75N,8º48´12.90W,Unit_4,Gillnet/trammel net,Trammel nets,LEGAL,,CFR_7,FX,GTR,5.6,,4.6,1.0,23.9,10.0,2.0,1995.0,1994.0,PTCAM,Caminha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1,5,3,PT11
8,41º54´25.27N,8º47´30.70W,Unit_4,Gillnet/trammel net,Trammel nets,LEGAL,,CFR_8,FX,GTR,2.7,,17.8,1.0,30.0,,3.0,1989.0,1988.0,PTCAM,Caminha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1,5,3,PT11
9,41º54´16.95N,8º48´35.70W,Unit_4,Gillnet/trammel net,Trammel nets,LEGAL,,CFR_9,MOX,GTR,5.4,,2.2,2.0,6.8,,3.0,1998.0,1998.0,PTCAM,Caminha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1,8,1,PT11
